Vehicle ID,Vehicle Type,Make & Model,Year of Manufacture,Fuel Type,Odometer Reading (km),Last Service Date,Next Service Due Date,Fuel Efficiency (km/l),Driver ID,Driver Experience (Years),Region of Operation,Trip Distance (km),Trip Duration (hrs),Average Speed (km/h),Fuel Consumption (liters),Fuel Cost (per trip),Total Maintenance Cost (YTD),Breakdowns Reported (YTD),Insurance Expiry Date,CO2 Emissions (g/km),Vehicle Status,Route Risk Level,Idle Time (hrs/month),Number of Trips (YTD)
VH-10024,Bus,Scania Citywide,2006,Hybrid,297434,2024-11-02,2024-12-02,10.19,DR-5278,3,North,252.24,9.88,25.53,24.75,38.89,7106.85,6,2025-06-17,354.86,Decommissioned,High,31.63,407
VH-10025,Bus,Volvo 7900,2009,Petrol,329233,2024-08-06,2025-02-02,14.94,DR-4558,23,South,629.12,6.26,100.5,42.11,77.26,8728.19,0,2025-08-31,123.63,In Repair,Medium,14.88,144
VH-10026,Motorcycle,Kawasaki Z650,2016,Hybrid,326571,2024-11-02,2025-03-21,13.74,DR-7119,31,North,692.28,6.34,109.19,50.38,63.98,8022.93,2,2026-01-27,81.51,Decommissioned,Low,40.99,727
VH-10027,Van,Mercedes Sprinter,2011,Electric,35012,2024-10-17,2025-01-17,15.99,DR-5571,31,East,683.79,10.49,65.18,42.76,69.73,2674.09,7,2025-12-06,322.81,Active,High,10.03,766
VH-10028,Van,Renault Trafic,2005,Hybrid,138373,2024-11-26,2025-05-21,15.82,DR-5876,23,South,500.6,10.16,49.27,31.64,55.94,8398.21,4,2025-08-17,63.07,Active,Medium,19.76,955
VH-10029,Car,Toyota Corolla,2012,Electric,164333,2024-07-17,2024-08-21,13.6,DR-1932,32,North,241.05,2.18,110.57,17.72,54.32,768.41,1,2026-02-13,149.89,Decommissioned,Low,49.48,84
VH-10030,Truck,Scania R,2021,Petrol,169636,2024-09-05,2024-11-27,12.4,DR-5730,12,South,327.05,4.68,69.88,26.38,44.39,2106.6,9,2025-08-10,198.29,Active,Low,33.58,907
VH-10031,Truck,Volvo FH,2018,Hybrid,386389,2024-07-03,2024-10-21,23.34,DR-5337,23,North,254.09,2.48,102.46,10.89,19.75,3237.85,5,2025-09-18,69.97,Active,Low,22.74,870
VH-10032,Truck,Volvo FH,2006,Diesel,497362,2024-07-18,2024-09-03,17.4,DR-8102,31,West,599.53,9.67,62,34.46,48.12,817.95,5,2025-12-06,75.88,Active,Low,44.94,66
VH-10033,Truck,Mercedes Actros,2008,Petrol,62372,2024-07-22,2025-01-01,10.98,DR-4153,30,East,92.56,0.98,94.45,8.43,12.87,3193.53,2,2025-08-02,351.49,In Repair,Low,7.23,597
VH-10034,Bus,Mercedes Citaro,2020,Electric,569543,2024-04-10,2024-09-14,4.42,DR-6461,22,West,837.06,12.64,66.22,189.38,291.38,541.66,1,2025-11-12,229.24,Active,Low,19.47,531
VH-10035,Car,Honda Civic,2005,Petrol,202698,2024-10-21,2025-02-26,22.58,DR-8336,20,West,291.96,5.35,54.57,12.93,22.4,9497.61,3,2025-09-26,189.15,In Repair,Medium,46.72,673
VH-10036,Truck,Volvo FH,2009,Petrol,523605,2024-03-14,2024-08-04,11.62,DR-2684,4,North,635.28,5.87,108.22,54.67,162.04,2190.56,4,2025-12-25,374.31,Active,High,6.81,61
VH-10037,Bus,Mercedes Citaro,2018,Petrol,202246,2024-11-23,2025-05-13,5.92,DR-7487,15,West,457.16,4.59,99.6,77.22,245.89,8842.1,10,2025-07-25,80.53,Decommissioned,Medium,12.99,730
VH-10038,Truck,Volvo FH,2008,Petrol,375742,2024-04-10,2024-06-22,5.98,DR-9235,16,South,269.95,4.34,62.2,45.14,130.41,9098.17,9,2025-06-12,274.92,Active,Low,12.35,813
VH-10039,Bus,Scania Citywide,2006,Petrol,250729,2025-01-23,2025-06-20,24.61,DR-8891,21,South,127.84,1.31,97.59,5.19,11.77,7401.14,1,2025-07-10,299.63,Decommissioned,Medium,31.49,499
VH-10040,Car,Honda Civic,2011,Diesel,585972,2024-07-07,2024-12-10,15.71,DR-7497,27,West,78.01,1.85,42.17,4.97,15.88,2248.67,4,2025-06-23,165.13,Decommissioned,Medium,18.4,353
VH-10041,Bus,Volvo 7900,2015,Electric,42791,2024-04-19,2024-10-04,23.07,DR-7868,19,North,990.55,15.22,65.08,42.94,95.63,1558.13,8,2025-07-28,211.17,In Repair,Medium,37.59,106
VH-10042,Bus,Mercedes Citaro,2020,Hybrid,540864,2024-07-08,2024-11-12,19.75,DR-2356,9,Central,385.16,5.28,72.95,19.5,39.21,2375.59,5,2026-01-02,290.93,Decommissioned,Low,38.56,235
VH-10043,Bus,Mercedes Citaro,2006,Petrol,62500,2024-04-07,2024-07-20,15.29,DR-3381,6,North,936.68,12.75,73.47,61.26,186.1,6154.97,5,2025-07-25,210.48,Active,Low,39.29,643
VH-10044,Motorcycle,Kawasaki Z650,2021,Petrol,406308,2024-07-09,2024-09-09,23.07,DR-1075,34,West,49.56,0.44,112.64,2.15,7.24,4239.48,5,2025-07-20,351.67,Decommissioned,High,5.42,962
VH-10045,Motorcycle,Yamaha MT-07,2023,Diesel,591064,2024-11-19,2025-02-16,19.77,DR-3108,27,West,541.25,12.63,42.85,27.38,52.36,3354.69,4,2026-02-16,318.14,Active,High,39.43,552
VH-10046,Bus,Mercedes Citaro,2006,Hybrid,58901,2024-10-19,2025-04-06,4.18,DR-1789,5,East,745.92,6.48,115.11,178.45,475.41,992.57,2,2025-11-15,124.66,Decommissioned,Low,9.46,449
VH-10047,Car,Ford Focus,2022,Hybrid,490271,2024-05-10,2024-10-07,19.7,DR-7384,9,East,538.2,7.03,76.56,27.32,65.8,8847.42,6,2025-08-01,259.75,Decommissioned,High,30.9,949
VH-10048,Truck,Mercedes Actros,2014,Hybrid,568246,2024-12-24,2025-05-18,11.77,DR-4829,4,North,620.14,24.9,24.91,52.69,154.63,9094.87,6,2026-01-10,76.7,In Repair,High,9.72,757
VH-10049,Car,Honda Civic,2012,Electric,340397,2024-12-05,2025-03-01,9.41,DR-4609,12,Central,408.14,3.91,104.38,43.37,141.19,5030.85,2,2025-08-15,319.68,Decommissioned,Medium,21.69,440
VH-10050,Van,Mercedes Sprinter,2006,Petrol,511564,2024-03-02,2024-08-03,8.12,DR-2697,17,West,702.86,21.18,33.19,86.56,268.94,8839.35,10,2025-09-15,329.41,Active,Low,31.28,566
VH-10051,Truck,Volvo FH,2021,Electric,250462,2025-01-05,2025-04-26,12.87,DR-1207,28,North,420.99,5.25,80.19,32.71,109.34,8606.38,8,2025-06-02,193.25,Decommissioned,High,30.6,597
VH-10052,Motorcycle,Honda CB500X,2016,Hybrid,591368,2024-12-03,2025-04-26,14.99,DR-7988,20,North,726.42,9.92,73.23,48.46,101.62,6418.18,3,2026-01-27,291.43,Active,Low,25.69,533
VH-10053,Truck,Mercedes Actros,2016,Hybrid,381234,2024-03-02,2024-05-05,15.91,DR-1581,29,East,265.6,8.91,29.81,16.69,56.86,6847.79,9,2026-02-16,396.21,Decommissioned,Medium,38.01,255
VH-10054,Motorcycle,Kawasaki Z650,2012,Diesel,540436,2024-07-23,2024-11-05,12.55,DR-7245,21,West,193.56,2.54,76.2,15.42,18.93,5448.94,0,2025-05-20,126.33,Active,High,16.79,591
VH-10055,Truck,Scania R,2010,Petrol,442024,2025-01-11,2025-05-11,20.04,DR-8147,6,South,258.49,4.63,55.83,12.9,37.86,9780.06,9,2025-12-05,207.09,In Repair,Low,24.38,102
VH-10056,Motorcycle,Yamaha MT-07,2012,Electric,429124,2024-10-26,2025-02-11,18.79,DR-6094,11,North,294.78,3.09,95.4,15.69,22.63,7635.96,10,2025-12-21,230.83,Decommissioned,High,32.35,470
VH-10057,Car,Toyota Corolla,2017,Petrol,102255,2024-06-08,2024-07-26,8.22,DR-7308,22,South,81.67,1.09,74.93,9.94,33.59,7936.31,6,2025-04-01,80.73,Active,High,46.06,675
VH-10058,Van,Mercedes Sprinter,2007,Electric,167786,2024-08-08,2025-01-18,5.11,DR-3058,32,East,107.37,3.41,31.49,21.01,46.46,3898.89,1,2025-07-30,243.49,Decommissioned,High,27.59,551
VH-10059,Car,Toyota Corolla,2016,Petrol,322837,2024-09-02,2024-10-25,14.15,DR-8901,30,North,378.36,7.44,50.85,26.74,77.13,5381.72,5,2026-02-16,268.25,Decommissioned,Medium,37.49,338
VH-10060,Truck,Volvo FH,2008,Electric,298745,2024-03-04,2024-05-22,16.8,DR-9394,29,North,863.26,8,107.91,51.38,95.6,8752.92,10,2025-11-19,102.48,Active,Low,26.02,250
VH-10061,Van,Mercedes Sprinter,2012,Petrol,306112,2024-07-19,2024-09-29,11.38,DR-7889,34,Central,656.6,6.61,99.33,57.7,168.87,2440.73,10,2025-09-25,140.37,Decommissioned,Medium,23.06,416
VH-10062,Bus,Scania Citywide,2015,Hybrid,555549,2025-01-13,2025-03-18,16.11,DR-4752,5,West,481.17,6.26,76.86,29.87,67.06,6402.6,4,2025-04-26,137.14,Active,Medium,36.17,703
VH-10063,Truck,Mercedes Actros,2022,Petrol,323093,2024-04-06,2024-06-14,21.28,DR-7400,7,East,377.05,17.45,21.61,17.72,55.87,2757.25,8,2025-04-12,267.45,Active,High,13.59,615
VH-10064,Bus,Mercedes Citaro,2022,Petrol,435297,2024-04-03,2024-08-28,22.74,DR-3845,23,West,934.98,24.96,37.46,41.12,100.89,6657.6,1,2025-04-09,76.24,In Repair,Low,21.83,106
VH-10065,Truck,Volvo FH,2020,Hybrid,346288,2025-01-17,2025-05-25,9.98,DR-9948,18,West,902.92,38.74,23.31,90.47,160.38,6899.63,6,2026-01-01,125.1,Decommissioned,Low,15.01,797
VH-10066,Motorcycle,Honda CB500X,2016,Hybrid,203780,2024-07-03,2024-10-22,20.59,DR-5925,15,West,649.17,7.83,82.91,31.53,107.57,9793.43,2,2025-07-30,142.28,In Repair,Low,24.7,553
VH-10067,Truck,Mercedes Actros,2005,Petrol,521837,2024-09-11,2025-02-06,14.45,DR-6356,3,Central,282.88,3.29,85.98,19.58,61.61,6344.4,1,2025-12-17,356.04,Active,Low,23.74,725
VH-10068,Truck,Volvo FH,2005,Diesel,256856,2024-11-28,2025-05-23,4.44,DR-8131,35,South,417.77,6.81,61.35,94.09,162.45,9766.63,9,2025-05-27,207.36,Active,Low,16.55,784
VH-10069,Truck,Mercedes Actros,2014,Hybrid,466563,2025-01-06,2025-06-12,12.26,DR-5020,33,North,52.97,0.55,96.31,4.32,15.03,8421.57,0,2025-03-28,263.03,Active,High,16.28,580
VH-10070,Motorcycle,Kawasaki Z650,2018,Diesel,220903,2024-09-21,2024-12-18,11.22,DR-7448,26,South,358.52,12.63,28.39,31.95,108.84,747.44,2,2025-06-07,266.07,Active,Medium,44.66,968
VH-10071,Car,Honda Civic,2014,Petrol,325518,2024-10-07,2024-12-12,6.78,DR-9464,11,Central,397.75,3.66,108.67,58.67,135.88,4721.2,1,2026-01-04,302.75,Decommissioned,Low,22.27,649
VH-10072,Motorcycle,Kawasaki Z650,2010,Petrol,591665,2024-08-13,2025-01-26,4.86,DR-9015,35,West,512.98,9.63,53.27,105.55,284.85,803.89,1,2025-04-04,93.56,Active,High,38.13,213
VH-10073,Bus,Scania Citywide,2022,Petrol,64881,2024-04-16,2024-10-10,13.47,DR-6957,35,North,186.25,1.6,116.41,13.83,46.04,6987.76,8,2025-12-25,250.91,In Repair,Low,6.77,183
VH-10074,Car,Honda Civic,2023,Electric,479223,2024-02-26,2024-06-26,16.39,DR-7461,23,Central,558.69,5.04,110.85,34.09,44.23,4039.42,2,2025-11-05,77.64,Active,High,49.61,215
VH-10075,Car,Honda Civic,2007,Diesel,258305,2024-12-15,2025-04-17,16.65,DR-2081,32,East,649.12,7.99,81.24,38.99,100.84,7615.89,0,2026-01-29,233.22,Active,Medium,34.79,636
VH-10076,Motorcycle,Honda CB500X,2016,Petrol,224270,2024-07-19,2025-01-02,13.79,DR-4253,4,North,634.92,25.49,24.91,46.04,79.94,2573.18,9,2026-01-04,311,In Repair,Medium,45.22,883
VH-10077,Truck,Scania R,2017,Diesel,421223,2024-03-28,2024-06-21,16.48,DR-5172,27,East,30.62,0.3,102.07,1.86,2.69,4751.5,6,2025-11-18,101.92,Active,Medium,32.11,866
VH-10078,Bus,Volvo 7900,2013,Petrol,523410,2024-12-17,2025-03-06,9.16,DR-9692,4,East,755.23,8.25,91.54,82.45,133.66,4899.86,4,2025-08-16,63.85,Decommissioned,Medium,39.65,768
VH-10079,Motorcycle,Yamaha MT-07,2018,Diesel,545720,2024-06-20,2024-09-22,5.85,DR-1426,29,West,638.82,19.23,33.22,109.2,218.03,5962.42,3,2025-08-05,292.97,Decommissioned,High,29.02,412
VH-10080,Motorcycle,Yamaha MT-07,2011,Hybrid,578200,2024-10-18,2025-01-07,16.77,DR-8379,14,South,176.65,8.31,21.26,10.53,36.06,5769.86,2,2025-10-08,294.24,Decommissioned,Low,20.52,236
VH-10081,Bus,Volvo 7900,2016,Petrol,394345,2025-01-22,2025-04-20,14.06,DR-7395,3,Central,424.27,4.79,88.57,30.18,50.37,9074.58,0,2025-05-24,254.65,In Repair,Medium,32.31,844
VH-10082,Truck,Volvo FH,2018,Electric,266034,2024-08-29,2025-02-17,14.82,DR-1016,14,West,957.53,8.57,111.73,64.61,122.41,8364.97,1,2025-05-23,201.68,Active,High,16.05,713
VH-10083,Car,Ford Focus,2007,Petrol,156279,2024-03-26,2024-05-31,24.07,DR-2602,19,South,266.48,3.05,87.37,11.07,29.12,7236.06,8,2025-04-01,111.85,Active,High,26.62,576
VH-10084,Truck,Scania R,2008,Petrol,475923,2024-07-19,2024-10-13,12.18,DR-7863,28,South,781.04,10.55,74.03,64.12,121.84,7230.36,10,2025-12-28,396.38,Active,Low,43.73,310
VH-10085,Truck,Volvo FH,2007,Diesel,424165,2024-12-01,2025-04-30,9.84,DR-2054,30,North,513.19,20.6,24.91,52.15,119.17,5215.82,6,2025-10-10,136.11,Active,Medium,28.01,705
VH-10086,Car,Ford Focus,2014,Petrol,440808,2024-09-22,2025-02-18,24.37,DR-9314,3,East,790.44,7.25,109.03,32.43,40.06,1064.25,9,2026-02-14,362.05,Decommissioned,Medium,39.82,610
VH-10087,Van,Renault Trafic,2017,Hybrid,37629,2024-02-25,2024-08-06,5.68,DR-6271,9,South,579.23,6.65,87.1,101.98,270.3,2917.85,8,2025-05-19,171.38,In Repair,Medium,26.05,582
VH-10088,Car,Ford Focus,2007,Hybrid,393417,2024-10-08,2025-02-10,4.88,DR-5925,12,South,185.39,1.8,102.99,37.99,64.74,6493.88,5,2025-08-16,53.49,Decommissioned,Low,39.76,159
VH-10089,Car,Ford Focus,2023,Hybrid,61850,2024-07-04,2024-12-16,16.77,DR-4345,32,North,449.93,14.69,30.63,26.83,83.32,9861.17,3,2025-09-13,383.67,Decommissioned,High,18.12,690
VH-10090,Bus,Volvo 7900,2010,Petrol,430863,2025-01-15,2025-04-14,19.91,DR-4227,1,Central,984.91,10.17,96.84,49.47,146.01,7322.1,6,2025-06-08,239.27,Active,Low,18.88,571
VH-10091,Bus,Volvo 7900,2014,Hybrid,513026,2024-10-16,2024-12-27,22.95,DR-5044,23,West,942.22,27.27,34.55,41.06,77.74,5798.05,10,2025-08-17,173,Decommissioned,Low,15.76,880
VH-10092,Van,Ford Transit,2006,Electric,573648,2024-08-17,2024-11-08,9.25,DR-9414,33,North,23.6,0.21,112.38,2.55,8.02,4148.85,6,2025-09-10,327.7,Decommissioned,High,36.82,377
VH-10093,Motorcycle,Kawasaki Z650,2009,Hybrid,423464,2024-04-20,2024-07-16,5.94,DR-7667,15,Central,175.38,1.82,96.36,29.53,55.28,1877.18,4,2025-04-01,357.16,Active,Low,8.09,134
VH-10094,Motorcycle,Honda CB500X,2006,Hybrid,243671,2024-07-24,2025-01-16,11.1,DR-8029,18,East,623.74,6.42,97.16,56.19,160.14,1371.04,2,2025-06-25,138.07,Active,Medium,6.84,108
VH-10095,Bus,Mercedes Citaro,2015,Petrol,329474,2024-09-01,2024-12-12,14.54,DR-1836,23,Central,913.72,28.3,32.29,62.84,128.33,5981.61,3,2025-08-16,217.07,Decommissioned,Medium,39.15,593
VH-10096,Car,Toyota Corolla,2015,Electric,24414,2024-04-14,2024-09-13,9.12,DR-8364,9,Central,463.93,6.76,68.63,50.87,134.79,9811.81,6,2026-02-10,182.18,In Repair,High,18.29,692
VH-10097,Bus,Scania Citywide,2018,Hybrid,494028,2024-06-26,2024-10-11,9.59,DR-8240,30,North,953.94,13.1,72.82,99.47,208.8,6793.52,8,2025-12-09,125.89,Active,Low,31.52,836
VH-10098,Car,Toyota Corolla,2013,Hybrid,88555,2024-04-02,2024-09-17,5.06,DR-4938,16,West,823.42,15.17,54.28,162.73,534.51,3601.83,7,2026-02-03,374.09,Active,Medium,19.58,825
VH-10099,Car,Honda Civic,2017,Petrol,419542,2024-11-18,2025-04-23,21.58,DR-5980,5,South,216.6,4.82,44.94,10.04,33.14,2966.93,10,2025-06-09,167.56,Decommissioned,High,35.64,853
VH-10100,Car,Toyota Corolla,2024,Hybrid,36607,2024-06-12,2024-08-27,19.73,DR-6732,17,East,135.34,2.56,52.87,6.86,19.31,1414.27,8,2025-11-03,288.45,Decommissioned,High,29.43,482
VH-10101,Car,Ford Focus,2014,Diesel,592562,2024-09-25,2024-11-06,18.84,DR-8469,19,Central,560.46,11.97,46.82,29.75,41.39,8053.64,1,2026-02-18,232.16,In Repair,High,16.22,317
VH-10102,Bus,Scania Citywide,2024,Electric,490138,2024-11-01,2025-02-27,21.73,DR-7556,18,North,142.29,1.82,78.18,6.55,13.15,5428.52,8,2025-09-14,221.33,In Repair,Low,19.47,975
VH-10103,Truck,Mercedes Actros,2012,Diesel,124811,2024-06-04,2024-11-18,16.84,DR-7191,13,South,723.15,8.77,82.46,42.94,129.03,8294.83,9,2025-06-23,72.94,Decommissioned,Medium,15.76,302
VH-10104,Truck,Mercedes Actros,2013,Petrol,130872,2024-07-19,2024-09-19,24.52,DR-9053,28,North,195.96,3.65,53.69,7.99,17,4386.24,4,2025-07-16,287.42,Decommissioned,High,45.36,363
VH-10105,Motorcycle,Honda CB500X,2009,Petrol,402114,2024-03-13,2024-07-09,10.71,DR-2354,34,Central,231.31,2.3,100.57,21.6,57.04,2448.58,2,2025-06-14,393.29,In Repair,Medium,48.38,77
VH-10106,Car,Honda Civic,2024,Hybrid,48833,2024-06-28,2024-10-26,5.51,DR-9600,20,North,742.15,11.65,63.7,134.69,394.77,1013.78,9,2025-11-17,99.96,In Repair,Low,26.95,354
VH-10107,Bus,Volvo 7900,2007,Electric,416308,2024-08-28,2025-01-21,6.9,DR-4641,28,South,52.8,1.03,51.26,7.65,20.56,8618.45,7,2026-01-29,353.66,Decommissioned,High,47.38,981
VH-10108,Van,Renault Trafic,2007,Petrol,535642,2025-01-02,2025-02-15,14.86,DR-5371,1,West,295.11,2.6,113.5,19.86,45.08,8270.65,3,2025-07-01,377.28,Active,Low,39.28,452
VH-10109,Car,Honda Civic,2008,Hybrid,150297,2024-12-06,2025-04-12,11.76,DR-9295,23,Central,147.35,1.82,80.96,12.53,34.5,1816.39,10,2025-04-16,329.34,In Repair,Low,41.76,919
VH-10110,Motorcycle,Yamaha MT-07,2020,Hybrid,412558,2024-08-04,2024-12-20,22.5,DR-8021,34,Central,241.49,8.96,26.95,10.73,21.19,7464.86,10,2025-08-10,377.1,Active,High,46.52,468
VH-10111,Car,Ford Focus,2019,Electric,320341,2024-03-17,2024-05-29,7.22,DR-9811,11,South,872.17,31.58,27.62,120.8,261.05,5087.3,0,2025-06-26,387.11,Decommissioned,Low,7.27,647
VH-10112,Bus,Scania Citywide,2006,Electric,171015,2024-11-23,2025-01-03,5.23,DR-7170,22,North,96.2,2.6,37,18.39,63.92,4072.9,4,2025-09-29,305.14,Active,Medium,27.44,627
VH-10113,Bus,Mercedes Citaro,2009,Diesel,65195,2024-06-13,2024-07-25,10.91,DR-4989,16,North,220.94,3.98,55.51,20.25,33.2,5190.96,0,2025-12-03,269.06,In Repair,Medium,40,210
VH-10114,Truck,Mercedes Actros,2005,Hybrid,554761,2024-10-25,2025-03-31,20.88,DR-8465,3,Central,83.91,1.02,82.26,4.02,12.35,5876.09,2,2025-09-22,50.93,Active,Low,18.8,469
VH-10115,Van,Ford Transit,2022,Petrol,396776,2024-05-14,2024-08-06,23.01,DR-9352,12,Central,642.86,31.79,20.22,27.94,80.16,8261.44,1,2025-06-04,278.68,Decommissioned,Medium,18.32,192
VH-10116,Bus,Volvo 7900,2016,Hybrid,445719,2024-10-09,2024-11-25,22.42,DR-4675,35,West,438.69,4.44,98.8,19.57,67.81,2452.88,8,2025-11-29,265.44,In Repair,High,15.38,472
VH-10117,Motorcycle,Yamaha MT-07,2007,Diesel,349251,2024-12-16,2025-04-06,22.33,DR-3474,3,North,242.97,2.72,89.33,10.88,18.75,2791.95,1,2025-12-01,82.81,In Repair,Low,21.31,222
VH-10118,Motorcycle,Yamaha MT-07,2017,Diesel,171897,2024-09-12,2025-02-19,13.03,DR-5369,7,North,333.33,5.2,64.1,25.58,50.16,1162.93,2,2025-09-13,242.43,Decommissioned,Medium,39.72,601
VH-10119,Van,Renault Trafic,2005,Diesel,477779,2024-10-08,2024-12-04,19.22,DR-6436,18,Central,209.66,10.34,20.28,10.91,19.22,9461.34,8,2025-12-15,256.59,In Repair,High,16.3,430
VH-10120,Motorcycle,Yamaha MT-07,2018,Diesel,453376,2025-01-18,2025-05-13,20.61,DR-9366,4,South,285.6,12.12,23.56,13.86,19.26,8109.11,1,2025-12-02,175.78,Active,Low,45.18,941
VH-10121,Bus,Scania Citywide,2024,Diesel,426709,2024-02-27,2024-05-05,16.19,DR-8837,3,Central,746.93,8.64,86.45,46.14,118.99,1810.9,8,2025-09-09,68.46,Decommissioned,Medium,11.15,583
VH-10122,Truck,Volvo FH,2007,Electric,269820,2024-04-09,2024-09-29,8.92,DR-2123,34,East,113.83,1.21,94.07,12.76,24.72,7910.62,3,2025-05-06,214.54,In Repair,Low,37.38,765
